# CASE 別の仮想 EXIT 比較（§15）。最も成績のよい CASE を採用する、という使い方はしない。gave_back_most は「+10%以上まで上昇し、最終リターンが最大含み益の半分未満」という集計上の定義。
code,name,signal_date,path_label,case,case_label,exit_type,exit_date,exit_day_offset,exit_reference_price,gap_through,approximate_return_pct,holding_days,still_open,order_ambiguous,max_gain_pct,max_gain_date,max_loss_pct,giveback_pct,rose5_then_lost,gave_back_most
7012,川崎重工,2026-02-26,P3_REHIGH_ONCE,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,TRAIL_STOP_EXIT,2026-03-04,3,3318.8984,true,-5.3288,4,false,false,6.7460,2026-03-03,-12.7834,12.0748,true,false
7012,川崎重工,2026-02-26,P3_REHIGH_ONCE,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,TRAIL_STOP_EXIT,2026-03-04,3,3318.8984,true,-5.3288,4,false,false,6.7460,2026-03-03,-12.7834,12.0748,true,false
9104,商船三井,2026-03-09,P3_REHIGH_ONCE,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-05-22,48,5648.0000,true,-3.8185,49,false,false,22.6968,2026-03-19,-4.8232,26.5153,true,true
9104,商船三井,2026-03-09,P3_REHIGH_ONCE,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-03-16,4,5972.5582,false,1.7085,5,false,false,5.1926,2026-03-11,-1.9430,3.4841,false,false
9104,商船三井,2026-03-09,P3_REHIGH_ONCE,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,TRAIL_STOP_EXIT,2026-04-27,33,5880.0583,false,0.1333,34,false,false,22.6968,2026-03-19,-1.9430,22.5635,false,true
9104,商船三井,2026-03-25,P3_REHIGH_ONCE,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-04-20,17,6179.5422,false,-7.3661,18,false,false,4.2133,2026-04-07,-8.7084,11.5795,false,false
9104,商船三井,2026-03-25,P3_REHIGH_ONCE,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-04-01,4,6492.0000,true,-2.6822,5,false,false,3.9959,2026-03-27,-7.0594,6.6781,false,false
9104,商船三井,2026-03-25,P3_REHIGH_ONCE,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT_AFTER_BREAKOUT,2026-04-20,17,6179.5422,false,-7.3661,18,false,false,4.2133,2026-04-07,-8.7084,11.5795,false,false
464A,QPSホールディングス,2026-04-17,P2_WARNING_LOW_BREAK,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-04-24,4,2483.5200,false,-7.1581,5,false,false,4.4112,2026-04-22,-7.4019,11.5693,false,false
464A,QPSホールディングス,2026-04-17,P2_WARNING_LOW_BREAK,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-04-23,3,2652.0000,false,-0.8598,4,false,false,4.4112,2026-04-22,-6.5047,5.2710,false,false
464A,QPSホールディングス,2026-04-17,P2_WARNING_LOW_BREAK,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT_AFTER_BREAKOUT,2026-04-24,4,2483.5200,false,-7.1581,5,false,false,4.4112,2026-04-22,-7.4019,11.5693,false,false
6361,荏原,2026-04-20,P4_REHIGH_MULTI,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-05-20,17,4882.4106,false,-5.4817,18,false,false,16.9459,2026-05-12,-6.2199,22.4276,true,true
6361,荏原,2026-04-20,P4_REHIGH_MULTI,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-04-30,6,5393.3627,false,4.4098,7,false,false,7.1250,2026-04-28,-1.5213,2.7152,false,false
6361,荏原,2026-04-20,P4_REHIGH_MULTI,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,TRAIL_STOP_EXIT,2026-05-19,16,5188.2419,false,0.4389,17,false,false,16.9459,2026-05-12,-1.5213,16.5070,false,true
6383,ダイフク,2026-04-20,P0_NO_BREAKOUT,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-04-22,1,6240.4215,false,-2.7663,2,false,false,0.5578,2026-04-21,-3.0059,3.3241,false,false
