# 各営業日の状態と、その日の寄り時点で有効だった active_stop（§11）。 引き上げた STOP を当日の安値へ遡って適用していないことがここで確認できる。
code,signal_date,day_offset,date,state,open,high,low,close,volume,active_stop,holding_high,reference_high,warning_low,unrealized_pct
1802,2026-02-19,1,2026-02-24,INITIAL_HOLD,4104.9271,4153.3366,4043.6743,4130.6138,2761900,3882.8853,4119.7463,,,1.1369
1802,2026-02-19,2,2026-02-25,INITIAL_HOLD,4154.3243,4190.8784,4075.2884,4184.9507,2505300,3882.8853,4153.3366,,,2.4673
1802,2026-02-19,3,2026-02-26,TREND_HOLD,4167.1679,4224.4689,4139.5053,4180.0112,3869400,3882.8853,4190.8784,,,2.3464
1802,2026-02-19,4,2026-02-27,TREND_HOLD,4193.8425,4385.5046,4173.0956,4362.7817,5093900,3882.8853,4224.4689,,,6.8215
1802,2026-02-19,5,2026-03-02,TREND_HOLD,4164.2039,4301.5288,4140.4931,4252.1313,2864800,3882.8853,4385.5046,,,4.1122
1802,2026-02-19,6,2026-03-03,TREND_HOLD,4221.5048,4228.4205,4079.2402,4098.0112,3603700,3882.8853,4385.5046,,,0.3387
1802,2026-02-19,7,2026-03-04,WARNING,4050.5896,4063.4330,3891.5299,3941.9153,4730600,3882.8853,4385.5046,4385.5046,4079.2402,-3.4833
1802,2026-02-19,8,2026-03-05,WARNING,4120.7342,4173.0954,3998.2285,4044.6621,4678400,3882.8853,4385.5046,4385.5046,4079.2402,-0.9676
1802,2026-02-19,9,2026-03-06,WARNING,3959.6985,3991.3128,3884.6144,3945.8672,3396300,3882.8853,4385.5046,4385.5046,4079.2402,-3.3866
1802,2026-02-19,10,2026-03-09,WARNING,3738.3980,3789.7714,3678.1332,3771.9883,3402800,3882.8853,4385.5046,4385.5046,4079.2402,-7.6439
200A,2026-02-19,0,2026-02-20,INITIAL_HOLD,3217.1646,3218.1601,3160.4263,3190.2886,382648,3142.6433,3217.1646,,,-0.8354
200A,2026-02-19,1,2026-02-24,INITIAL_HOLD,3200.2427,3300.7791,3200.2427,3294.8066,377800,3142.6433,3218.1601,,,2.4134
200A,2026-02-19,2,2026-02-25,INITIAL_HOLD,3331.6368,3398.3292,3310.7332,3395.3430,327821,3142.6433,3300.7791,,,5.5384
200A,2026-02-19,3,2026-02-26,TREND_HOLD,3465.0216,3467.0124,3294.8065,3372.4485,458698,3142.6433,3398.3292,,,4.8267
200A,2026-02-19,4,2026-02-27,WARNING,3284.8525,3321.6826,3262.9534,3321.6826,676719,3142.6433,3467.0124,3467.0124,3294.8065,3.2488
200A,2026-02-19,5,2026-03-02,WARNING,3216.1693,3317.7011,3215.1739,3314.7148,713847,3142.6433,3467.0124,3467.0124,3294.8065,3.0322
200A,2026-02-19,6,2026-03-03,WARNING,3306.7516,3345.5726,3190.2887,3208.2061,905894,3142.6433,3467.0124,3467.0124,3294.8065,-0.2785
200A,2026-02-19,7,2026-03-04,WARNING,3070.8395,3199.2474,2980.2572,3037.9910,1230292,3142.6433,3467.0124,3467.0124,3294.8065,-5.5693
6594,2026-02-19,0,2026-02-20,INITIAL_HOLD,2335.0000,2337.0000,2300.0000,2300.0000,2726300,2279.5450,2335.0000,,,-1.4989
6594,2026-02-19,1,2026-02-24,INITIAL_HOLD,2300.0000,2405.0000,2292.0000,2350.0000,5010200,2279.5450,2337.0000,,,0.6424
6594,2026-02-19,2,2026-02-25,INITIAL_HOLD,2400.0000,2437.0000,2359.0000,2391.0000,8022600,2279.5450,2405.0000,,,2.3983
6594,2026-02-19,3,2026-02-26,TREND_HOLD,2410.0000,2460.0000,2372.0000,2410.0000,9348100,2279.5450,2437.0000,,,3.2120
6594,2026-02-19,4,2026-02-27,TREND_HOLD,2460.0000,2490.0000,2403.0000,2462.0000,12050600,2279.5450,2460.0000,,,5.4390
6594,2026-02-19,5,2026-03-02,TREND_HOLD,2362.0000,2377.0000,2292.0000,2336.0000,6635700,2279.5450,2490.0000,,,0.0428
6594,2026-02-19,6,2026-03-03,WARNING,2362.0000,2362.0000,2254.0000,2266.0000,7011300,2279.5450,2490.0000,2490.0000,2292.0000,-2.9550
8058,2026-02-19,0,2026-02-20,INITIAL_HOLD,4929.4930,5031.5098,4897.7985,4943.3594,10449500,4794.4691,4929.4930,,,0.2813
8058,2026-02-19,1,2026-02-24,INITIAL_HOLD,5059.2423,5083.0132,4974.0632,5083.0132,12190000,4794.4691,5031.5098,,,3.1143
8058,2026-02-19,2,2026-02-25,TREND_HOLD,5101.8318,5143.4309,5018.6336,5111.7363,11117500,4794.4691,5083.0132,,,3.6970
8058,2026-02-19,3,2026-02-26,TREND_HOLD,5150.3641,5201.8677,5106.7841,5111.7363,10596900,4794.4691,5143.4309,,,3.6970
8058,2026-02-19,4,2026-02-27,WARNING,5089.9467,5282.0949,5056.2713,5239.5054,13376900,4794.4691,5201.8677,5201.8677,5106.7841,6.2889
8058,2026-02-19,5,2026-03-02,TREND_HOLD,5074.0993,5320.7225,5054.2902,5273.1807,13336000,5030.9899,5282.0949,,,6.9721
8058,2026-02-19,6,2026-03-03,TREND_HOLD,5363.3121,5525.7466,5249.4098,5264.2666,18039000,5030.9899,5320.7225,,,6.7912
8058,2026-02-19,7,2026-03-04,WARNING,5024.5767,5149.3740,4876.9990,4905.7222,18267600,5030.9899,5525.7466,5525.7466,5249.4098,-0.4822
8058,2026-02-19,8,2026-03-05,CLOSED,5051.3187,5158.2878,4991.8914,5065.1851,12899200,5030.9899,5525.7466,5525.7466,5249.4098,2.7527
8058,2026-02-19,9,2026-03-06,CLOSED,5012.6912,5066.1758,4919.5885,5024.5767,9676400,5030.9899,5525.7466,5525.7466,5249.4098,1.9289
8058,2026-02-19,10,2026-03-09,CLOSED,4754.1825,4915.6266,4685.8411,4871.0562,15218300,5030.9899,5525.7466,5525.7466,5249.4098,-1.1855
7203,2026-02-25,0,2026-02-26,INITIAL_HOLD,3724.5421,3764.9406,3699.9089,3720.6008,24605000,3534.3490,3724.5421,,,-0.1058
7203,2026-02-25,1,2026-02-27,INITIAL_HOLD,3685.1289,3768.8818,3661.4810,3768.8818,28621000,3534.3490,3764.9406,,,1.1905
