# 状態遷移の時系列。case 列が CASE2 のものは CASE2 だけに効くイベント（CASE3 は warning_low で降りない）。
code,name,signal_date,day_offset,date,state_before,state_after,kind,price,case,detail
8058,三菱商事,2026-02-19,4,2026-02-27,TREND_HOLD,TREND_HOLD,TRAIL_STOP_RAISED,5030.9899,ALL,active_stop 4794.5 → 5031.0（押し安値 5056.3 の 0.5% 下）。翌営業日から有効（当日の安値には遡って適用しない）
8058,三菱商事,2026-02-19,6,2026-03-03,TREND_HOLD,WARNING,WARNING_CANDLE,5249.4098,ALL,上限突破後の最初の陰線 O5363.3 C5264.3 / warning_low 5249.4 / reference_high 5525.7（2026-03-03の保有中最高値） / 含み益 +6.79%
8058,三菱商事,2026-02-19,7,2026-03-04,WARNING,WARNING,WARNING_LOW_BREAK,5249.4098,CASE2_WARNING_EXIT,warning_low 5249.4 を下抜け（安値 4877.0）→ 利確候補。CASE2 はここで仮想EXIT、CASE3 は保有を続ける
8058,三菱商事,2026-02-19,7,2026-03-04,WARNING,WARNING,GAP_THROUGH_WARNING_LOW,5024.5767,CASE2_WARNING_EXIT,寄り 5024.6 が warning_low 5249.4 を下回っており、warning_low での約定は仮定できない
8058,三菱商事,2026-02-19,7,2026-03-04,WARNING,CLOSED,TRAIL_STOP_EXIT,5024.5767,ALL,WARNING 中に active_stop 5031.0 へ到達（安値 4877.0）
7203,トヨタ,2026-02-25,0,2026-02-26,INITIAL_HOLD,INITIAL_HOLD,ENTRY,3724.5421,ALL,翌営業日始値 3724.5 で仮想ENTRY（ギャップ +1.61%） / 初期STOP 3534.3 / 元レンジ上限 3730.5
7203,トヨタ,2026-02-25,0,2026-02-26,INITIAL_HOLD,INITIAL_HOLD,RANGE_UPPER_HIGH_ONLY,3764.9406,ALL,高値 3764.9 は上限超だが終値 3720.6 は上限以下 → 状態遷移させない（§3）
7203,トヨタ,2026-02-25,1,2026-02-27,INITIAL_HOLD,TREND_HOLD,RANGE_UPPER_CLOSE_BREAK,3768.8818,ALL,終値 3768.9 > 元レンジ上限 3730.5 → TREND_HOLD へ。警戒足の判定は翌営業日から開始（解釈(a)）
7203,トヨタ,2026-02-25,3,2026-03-03,TREND_HOLD,WARNING,WARNING_CANDLE,3619.1120,ALL,上限突破後の最初の陰線 O3744.2 C3647.7 / warning_low 3619.1 / reference_high 3898.9（2026-03-02の保有中最高値） / 含み益 -2.06%
7203,トヨタ,2026-02-25,4,2026-03-04,WARNING,WARNING,WARNING_LOW_BREAK,3619.1120,CASE2_WARNING_EXIT,warning_low 3619.1 を下抜け（安値 3445.7）→ 利確候補。CASE2 はここで仮想EXIT、CASE3 は保有を続ける
7203,トヨタ,2026-02-25,4,2026-03-04,WARNING,WARNING,GAP_THROUGH_WARNING_LOW,3606.3027,CASE2_WARNING_EXIT,寄り 3606.3 が warning_low 3619.1 を下回っており、warning_low での約定は仮定できない
7203,トヨタ,2026-02-25,4,2026-03-04,WARNING,CLOSED,INITIAL_STOP_EXIT_AFTER_BREAKOUT,3534.3490,ALL,WARNING 中に active_stop 3534.3 へ到達（安値 3445.7）
7012,川崎重工,2026-02-26,0,2026-02-27,INITIAL_HOLD,INITIAL_HOLD,ENTRY,3505.7107,ALL,翌営業日始値 3505.7 で仮想ENTRY（ギャップ +0.34%） / 初期STOP 3310.2 / 元レンジ上限 3597.1
7012,川崎重工,2026-02-26,0,2026-02-27,INITIAL_HOLD,TREND_HOLD,RANGE_UPPER_CLOSE_BREAK,3627.9336,ALL,終値 3627.9 > 元レンジ上限 3597.1 → TREND_HOLD へ。警戒足の判定は翌営業日から開始（解釈(a)）
7012,川崎重工,2026-02-26,1,2026-03-02,TREND_HOLD,WARNING,WARNING_CANDLE,3582.2242,ALL,上限突破後の最初の陰線 O3676.6 C3651.8 / warning_low 3582.2 / reference_high 3729.3（2026-03-02の保有中最高値） / 含み益 +4.17%
7012,川崎重工,2026-02-26,2,2026-03-03,WARNING,TREND_HOLD,REHIGH_CONFIRMED,3742.2070,ALL,高値 3742.2 > reference_high 3729.3 → 調整後の再高値更新。警戒足 2026-03-02 から本日までの最安値 3433.2（2026-03-03）を押し安値として確定
7012,川崎重工,2026-02-26,2,2026-03-03,TREND_HOLD,TREND_HOLD,TRAIL_STOP_RAISED,3416.0060,ALL,active_stop 3310.2 → 3416.0（押し安値 3433.2 の 0.5% 下）。翌営業日から有効（当日の安値には遡って適用しない）
7012,川崎重工,2026-02-26,3,2026-03-04,TREND_HOLD,CLOSED,TRAIL_STOP_EXIT,3318.8984,ALL,active_stop 3416.0 へ到達（安値 3057.6） ※寄り 3318.9 で既に割れていた / 初期STOP 3310.2 から引き上げ済み
9104,商船三井,2026-03-09,0,2026-03-10,INITIAL_HOLD,INITIAL_HOLD,ENTRY,5872.2289,ALL,翌営業日始値 5872.2 で仮想ENTRY（ギャップ +0.15%） / 初期STOP 5648.1 / 元レンジ上限 6060.1
9104,商船三井,2026-03-09,1,2026-03-11,INITIAL_HOLD,TREND_HOLD,RANGE_UPPER_CLOSE_BREAK,6146.6597,ALL,終値 6146.7 > 元レンジ上限 6060.1 → TREND_HOLD へ。警戒足の判定は翌営業日から開始（解釈(a)）
9104,商船三井,2026-03-09,2,2026-03-12,TREND_HOLD,WARNING,WARNING_CANDLE,5972.5582,ALL,上限突破後の最初の陰線 O6128.0 C6072.9 / warning_low 5972.6 / reference_high 6177.2（2026-03-11の保有中最高値） / 含み益 +3.42%
9104,商船三井,2026-03-09,4,2026-03-16,WARNING,WARNING,WARNING_LOW_BREAK,5972.5582,CASE2_WARNING_EXIT,warning_low 5972.6 を下抜け（安値 5909.6）→ 利確候補。CASE2 はここで仮想EXIT、CASE3 は保有を続ける
9104,商船三井,2026-03-09,4,2026-03-16,WARNING,WARNING,WARNING_CANDLE_NOT_REPLACED,5909.6063,ALL,WARNING 中の追加陰線 安値 5909.6。警戒足は 2026-03-12 のまま置き換えない（§9）
9104,商船三井,2026-03-09,5,2026-03-17,WARNING,WARNING,AMBIGUOUS_WARNING_ORDER,,ALL,同日に warning_low 5972.6 下抜けと reference_high 6177.2 更新の両方が成立。日足（O6000.1 H6275.5 L5942.1 C6173.2）では先後を決められない。CASE2 の EXIT 有無がこの順序に依存する
9104,商船三井,2026-03-09,5,2026-03-17,WARNING,TREND_HOLD,REHIGH_CONFIRMED,6275.5141,ALL,高値 6275.5 > reference_high 6177.2 → 調整後の再高値更新。警戒足 2026-03-12 から本日までの最安値 5909.6（2026-03-16）を押し安値として確定（同日に warning_low も下抜けており順序不明）
9104,商船三井,2026-03-09,5,2026-03-17,TREND_HOLD,TREND_HOLD,TRAIL_STOP_RAISED,5880.0583,ALL,active_stop 5648.1 → 5880.1（押し安値 5909.6 の 0.5% 下）。翌営業日から有効（当日の安値には遡って適用しない）
