date,code,name,sector,themes,status,close,ma25,range_days,range_lower,range_upper,range_position,distance_to_lower_pct,lower_touch_count,prev_high,rebound_confirmed,volume_state,initial_stop,reason
2026-09-07,7735,SCREEN HD,電気機器,半導体・生成AI,OUT,13515.00,13415.80,4,12880.00,13570.00,0.920,,1,13275.00,true,neutral,,"株価 13,515円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,6762,TDK,電気機器,電子部品・AI端末,OUT,2980.50,3056.50,3,2815.50,3012.00,0.840,,1,2931.50,true,neutral,,"上昇トレンド条件を満たさない（株価 > MA25: 2,980円 <= MA25 3,056円 (-2.5%)）"
2026-09-07,7269,スズキ,輸送用機器,自動車・円安,OUT,2055.00,2070.12,,,,,,,2116.00,false,unknown,,"上昇トレンド条件を満たさない（株価 > MA25: 2,055円 <= MA25 2,070円 (-0.7%)）"
2026-09-07,3436,SUMCO,金属製品,半導体・生成AI,OUT,3315.00,3507.08,,,,,,,3314.00,true,unknown,,"上昇トレンド条件を満たさない（株価 > MA25: 3,315円 <= MA25 3,507円 (-5.5%)）"
2026-09-07,1801,大成建設,建設業,建設・国土強靭化,OUT,12825.00,12795.60,3,12380.00,12985.00,0.736,,1,12820.00,true,contracting,,"株価 12,825円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,6273,SMC,機械,機械・設備投資,OUT,68590.00,72496.80,3,65970.00,69550.00,0.732,,1,67770.00,true,contracting,,"株価 68,590円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,4063,信越化学,化学,半導体・生成AI,OUT,5818.00,6079.76,4,5785.00,5914.00,0.256,,2,5860.00,false,neutral,,"上昇トレンド条件を満たさない（株価 > MA25: 5,818円 <= MA25 6,080円 (-4.3%)）"
2026-09-07,7011,三菱重工,機械,重工・防衛|宇宙・衛星,OUT,3829.00,4000.84,4,3705.00,3863.00,0.785,,2,3820.00,true,neutral,,"上昇トレンド条件を満たさない（株価 > MA25: 3,829円 <= MA25 4,001円 (-4.3%)）"
2026-09-07,1802,大林組,建設業,建設・国土強靭化,OUT,3018.00,3027.10,4,2984.50,3061.00,0.438,,1,3036.00,false,contracting,,"上昇トレンド条件を満たさない（MA25の向き: 下向き — MA25 3,027円 < 5日前 3,071円 (-1.4%)、株価 > MA25: 3,018円 <= MA25 3,027円 (-0.3%)）"
2026-09-07,6902,デンソー,輸送用機器,自動車・円安,OUT,1927.00,1927.24,6,1908.00,1984.00,0.250,,2,1937.50,false,expanding,,"株価 1,927円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,7201,日産自動車,輸送用機器,自動車・円安,OUT,316.60,327.80,3,312.90,325.90,0.285,,1,319.50,false,contracting,,"株価 317円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,7202,いすゞ,輸送用機器,自動車・円安,OUT,2224.50,2246.46,7,2214.50,2331.50,0.085,,2,2265.50,false,neutral,,"上昇トレンド条件を満たさない（MA25の向き: 下向き — MA25 2,246円 < 5日前 2,285円 (-1.7%)、株価 > MA25: 2,224円 <= MA25 2,246円 (-1.0%)）"
2026-09-07,6315,TOWA,機械,半導体・生成AI,OUT,2309.00,2442.24,3,2182.00,2309.00,1.000,,1,2245.00,true,contracting,,"上昇トレンド条件を満たさない（MA25の向き: 下向き — MA25 2,442円 < 5日前 2,502円 (-2.4%)、株価 > MA25: 2,309円 <= MA25 2,442円 (-5.5%)）"
2026-09-07,7012,川崎重工,輸送用機器,重工・防衛,OUT,2488.00,2673.80,4,2411.00,2504.00,0.828,,2,2465.50,true,neutral,,"上昇トレンド条件を満たさない（MA25の向き: 下向き — MA25 2,674円 < 5日前 2,722円 (-1.8%)、株価 > MA25: 2,488円 <= MA25 2,674円 (-6.9%)）"
2026-09-07,5802,住友電工,非鉄金属,電線・データセンター,OUT,2201.50,2222.20,4,2094.50,2214.50,0.892,,1,2151.50,true,neutral,,"上昇トレンド条件を満たさない（MA25の向き: 下向き — MA25 2,222円 < 5日前 2,226円 (-0.2%)、株価 > MA25: 2,202円 <= MA25 2,222円 (-0.9%)）"
2026-09-07,6367,ダイキン,機械,機械・設備投資,OUT,20660.00,21365.20,6,20430.00,21155.00,0.317,,2,20900.00,false,expanding,,"株価 20,660円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,6526,ソシオネクスト,電気機器,半導体・生成AI,OUT,1996.50,1998.50,3,1930.50,2012.00,0.810,,1,1986.00,true,neutral,,"株価 1,996円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,6383,ダイフク,機械,機械・設備投資,OUT,5812.00,5958.96,4,5548.00,5869.00,0.822,,1,5676.00,true,neutral,,"上昇トレンド条件を満たさない（MA25の向き: 下向き — MA25 5,959円 < 5日前 6,005円 (-0.8%)、株価 > MA25: 5,812円 <= MA25 5,959円 (-2.5%)）"
2026-09-07,8035,東京エレクトロン,電気機器,半導体・生成AI,OUT,55840.00,55934.80,10,52330.00,57530.00,0.675,,1,54490.00,true,neutral,,"株価 55,840円 が対象レンジ 2,000円〜7,000円 の外"
