# 保有中に出現した陰線（close < open）の一覧。§30 の警戒足ルールは機械定義が未確定のため、ここでは売却判定をしていない。 change_pct / body_to_atr / volume_ratio / close_pos_in_day_range はMANUAL_EXIT_REVIEW（人間がチャート確認）のための参考指標であり閾値は設けていない。
code,name,signal_date,date,day_offset,is_first,open,high,low,close,volume,broke_low_date,broke_low_day_offset,days_from_candle_to_break,new_high_vs_candle_high_before_break,new_high_vs_position_peak_before_break,change_pct,body_pct,body_to_atr,volume_ratio,close_pos_in_day_range,manual_exit_review
7012,川崎重工,2026-02-26,2026-03-03,2,false,3731.2765,3742.2070,3433.1718,3435.1592,21441500,2026-03-04,3,1,false,false,-5.9320,7.9361,1.6952,0.8595,0.0064,true
7012,川崎重工,2026-02-26,2026-03-04,3,false,3318.8984,3362.6204,3057.5600,3182.7639,34144000,,,,false,false,-7.3474,4.1018,0.7428,1.3321,0.4104,true
9104,商船三井,2026-03-09,2026-03-12,2,true,6127.9706,6155.5120,5972.5582,6072.8877,4291900,2026-03-16,4,2,false,false,-1.2002,0.8989,0.2917,0.7677,0.5484,true
9104,商船三井,2026-03-09,2026-03-16,4,false,6073.8713,6089.6093,5909.6063,5940.0986,2957500,2026-04-27,33,29,true,true,-1.2590,2.2024,0.6795,0.5431,0.1694,true
9104,商船三井,2026-03-09,2026-03-19,7,false,6908.9673,7205.0378,6849.9499,6861.7534,15434800,2026-03-23,8,1,false,false,-0.5418,0.6834,0.1763,2.3364,0.0332,true
9104,商船三井,2026-03-09,2026-03-23,8,false,6722.0790,6724.0462,6242.0710,6277.4814,9151800,2026-03-24,9,1,false,false,-8.5149,6.6140,1.5274,1.3621,0.0735,true
9104,商船三井,2026-03-09,2026-03-24,9,false,6332.5644,6404.3689,6210.5951,6305.0229,5787300,2026-04-01,15,6,true,false,0.4387,0.4349,0.0946,0.8533,0.4873,true
9104,商船三井,2026-03-09,2026-03-25,10,false,6481.0914,6488.9604,6234.2021,6425.0249,4874700,2026-04-01,15,5,true,false,1.9033,0.8651,0.1922,0.7100,0.7490,true
9104,商船三井,2026-03-09,2026-03-31,14,false,6750.0000,6799.0000,6496.0000,6496.0000,5733700,2026-04-01,15,1,false,false,-3.9480,3.7630,0.7898,0.8098,0.0000,true
9104,商船三井,2026-03-09,2026-04-02,16,false,6787.0000,6842.0000,6481.0000,6603.0000,7006300,2026-04-10,22,6,true,false,1.6159,2.7111,0.5453,0.9476,0.3380,true
9104,商船三井,2026-03-09,2026-04-03,17,false,6801.0000,6808.0000,6667.0000,6766.0000,4470300,2026-04-08,20,3,true,false,2.4686,0.5146,0.1024,0.6138,0.7021,true
